city,online_order,name
BTM,No,1789
BTM,Yes,3293
Banashankari,No,397
Banashankari,Yes,505
Banaswadi,No,313
Banaswadi,Yes,338
Bannerghatta Road,No,698
Bannerghatta Road,Yes,924
Basavanagudi,No,243
Basavanagudi,Yes,441
Bellandur,No,517
Bellandur,Yes,751
Brigade Road,No,552
Brigade Road,Yes,658
Brookefield,No,241
Brookefield,Yes,417
Church Street,No,226
Church Street,Yes,340
Commercial Street,No,228
Commercial Street,Yes,142
Cunningham Road,No,168
Cunningham Road,Yes,322
Domlur,No,261
Domlur,Yes,235
Ejipura,No,219
Ejipura,Yes,219
Electronic City,No,677
Electronic City,Yes,570
Frazer Town,No,293
Frazer Town,Yes,427
HSR,No,599
HSR,Yes,1910
Indiranagar,No,739
Indiranagar,Yes,1329
JP Nagar,No,914
JP Nagar,Yes,1307
Jayanagar,No,560
Jayanagar,Yes,1364
Kalyan Nagar,No,353
Kalyan Nagar,Yes,491
Kammanahalli,No,267
Kammanahalli,Yes,375
Koramangala 1st Block,No,385
Koramangala 1st Block,Yes,852
Koramangala 4th Block,No,459
Koramangala 4th Block,Yes,558
Koramangala 5th Block,No,889
Koramangala 5th Block,Yes,1613
Koramangala 6th Block,No,457
Koramangala 6th Block,Yes,682
Koramangala 7th Block,No,394
Koramangala 7th Block,Yes,785
Koramangala 8th Block,No,100
Koramangala 8th Block,Yes,212
Lavelle Road,No,321
Lavelle Road,Yes,203
MG Road,No,544
MG Road,Yes,373
Malleshwaram,No,310
Malleshwaram,Yes,412
Marathahalli,No,718
Marathahalli,Yes,1104
New BEL Road,No,257
New BEL Road,Yes,389
Old Airport Road,No,224
Old Airport Road,Yes,216
Others,No,2000
Others,Yes,2678
Rajajinagar,No,286
Rajajinagar,Yes,305
Residency Road,No,425
Residency Road,Yes,247
Richmond Road,No,565
Richmond Road,Yes,246
Sarjapur Road,No,331
Sarjapur Road,Yes,724
Shanti Nagar,No,289
Shanti Nagar,Yes,219
Shivajinagar,No,354
Shivajinagar,Yes,144
St. Marks Road,No,176
St. Marks Road,Yes,167
Ulsoor,No,395
Ulsoor,Yes,622
Whitefield,No,997
Whitefield,Yes,1119
